#Snapshot,Redshift,Lookback time,Age
144,3.04,11.688,2.121
145,2.99,11.648,2.161
146,2.95,11.616,2.193
147,2.9,11.574,2.235
148,2.86,11.54,2.269
149,2.81,11.495,2.314
150,2.77,11.459,2.35
151,2.56,11.251,2.558
152,2.52,11.208,2.601
153,2.48,11.163,2.646
154,2.44,11.118,2.691
155,2.4,11.071,2.738
156,2.36,11.023,2.786
157,2.32,10.973,2.836
158,2.28,10.922,2.887
159,2.24,10.87,2.939
160,2.21,10.829,2.98
161,2.17,10.774,3.035
162,2.13,10.717,3.092
163,2.1,10.673,3.136
164,2.06,10.613,3.196
165,2.03,10.566,3.243
166,1.99,10.503,3.306
167,1.96,10.454,3.355
168,1.94,10.42,3.389
169,1.89,10.334,3.475
170,1.86,10.281,3.528
171,1.82,10.208,3.601
172,1.79,10.152,3.657
173,1.76,10.094,3.715
174,1.73,10.034,3.775
175,1.7,9.973,3.836
176,1.67,9.911,3.898
177,1.64,9.847,3.962
178,1.6,9.758,4.051
179,1.58,9.713,4.096
180,1.55,9.644,4.165
181,1.52,9.572,4.237
182,1.49,9.498,4.311
183,1.46,9.423,4.386
184,1.43,9.345,4.464
185,1.4,9.265,4.544
186,1.38,9.211,4.598
187,1.35,9.127,4.682
188,1.32,9.04,4.769
189,1.29,8.951,4.858
190,1.27,8.891,4.918
191,1.24,8.797,5.012
192,1.22,8.733,5.076
193,1.19,8.635,5.174
194,1.17,8.568,5.241
195,1.14,8.464,5.345
196,1.12,8.394,5.415
197,1.09,8.285,5.524
198,1.07,8.21,5.599
199,1.04,8.095,5.714
200,1.02,8.016,5.793
201,1,7.936,5.873
202,0.98,7.854,5.955
203,0.95,7.727,6.082
204,0.93,7.641,6.168
205,0.91,7.552,6.257
206,0.89,7.461,6.348
207,0.86,7.321,6.488
208,0.84,7.225,6.584
209,0.82,7.127,6.682
210,0.8,7.026,6.783
211,0.78,6.924,6.885
212,0.76,6.818,6.991
213,0.74,6.71,7.099
214,0.72,6.6,7.209
215,0.7,6.487,7.322
216,0.68,6.371,7.438
217,0.66,6.253,7.556
218,0.64,6.131,7.678
219,0.62,6.007,7.802
220,0.6,5.88,7.929
221,0.59,5.815,7.994
222,0.57,5.682,8.127
223,0.55,5.547,8.262
224,0.53,5.408,8.401
225,0.51,5.265,8.544
226,0.5,5.192,8.617
227,0.48,5.044,8.765
228,0.46,4.892,8.917
229,0.45,4.815,8.994
230,0.43,4.657,9.152
231,0.41,4.495,9.314
232,0.4,4.412,9.397
233,0.38,4.244,9.565
234,0.37,3.429,10.38
235,0.36,4.244,9.565
236,0.37,4.158,9.651
237,0.35,3.983,9.826
238,0.33,3.803,10.006
239,0.32,3.711,10.098
240,0.3,3.524,10.285
241,0.29,3.429,10.38
242,0.27,3.234,10.575
243,0.26,3.134,10.675
244,0.25,3.033,10.776
245,0.23,2.828,10.981
246,0.22,2.723,11.086
247,0.2,2.508,11.301
248,0.19,2.399,11.41
249,0.18,2.288,11.521
250,0.16,2.062,11.747
251,0.15,1.946,11.863
252,0.14,1.829,11.98
253,0.12,1.589,12.22
254,0.11,1.467,12.342
255,0.1,1.343,12.466
256,0.08,1.089,12.72
257,0.07,0.96,12.849
258,0.06,0.829,12.98
259,0.05,0.696,13.113
260,0.04,0.56,13.249
261,0.02,0.284,13.525
262,0.01,0.143,13.666
263,0,0.1,13.709
264,0,0,13.809
