#Snapshot,Redshift
144,3.04
145,2.99
146,2.95
147,2.9
148,2.86
149,2.81
150,2.77
151,2.56
152,2.52
153,2.48
154,2.44
155,2.4
156,2.36
157,2.32
158,2.28
159,2.24
160,2.21
161,2.17
162,2.13
163,2.1
164,2.06
165,2.03
166,1.99
167,1.96
168,1.94
169,1.89
170,1.86
171,1.82
172,1.79
173,1.76
174,1.73
175,1.7
176,1.67
177,1.64
178,1.6
179,1.58
180,1.55
181,1.52
182,1.49
183,1.46
184,1.43
185,1.4
186,1.38
187,1.35
188,1.32
189,1.29
190,1.27
191,1.24
192,1.22
193,1.19
194,1.17
195,1.14
196,1.12
197,1.09
198,1.07
199,1.04
200,1.02
201,1
202,0.98
203,0.95
204,0.93
205,0.91
206,0.89
207,0.86
208,0.84
209,0.82
210,0.8
211,0.78
212,0.76
213,0.74
214,0.72
215,0.7
216,0.68
217,0.66
218,0.64
219,0.62
220,0.6
221,0.59
222,0.57
223,0.55
224,0.53
225,0.51
226,0.5
227,0.48
228,0.46
229,0.45
230,0.43
231,0.41
232,0.4
233,0.38
234,0.37
235,0.36
236,0.37
237,0.35
238,0.33
239,0.32
240,0.3
241,0.29
242,0.27
243,0.26
244,0.25
245,0.23
246,0.22
247,0.2
248,0.19
249,0.18
250,0.16
251,0.15
252,0.14
253,0.12
254,0.11
255,0.1
256,0.08
257,0.07
258,0.06
259,0.05
260,0.04
261,0.02
262,0.01
263,0
264,0
